"PPG_Item","Category","Market","Retailer","Brand","Display_Spend","Feature_Spend"
"DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","ROM","Fareway","Alpo",0,0
"DT T BONZ MT 40OZ","Dog Treats","ROM","Fareway","Alpo",0,0
"DT T BONZ MT 10OZ","Dog Treats","ROM","Fareway","Alpo",0,0
"DT T BONZ MT 45OZ","Dog Treats","ROM","Fareway","Alpo",0,0
"DT ALPO TWIST-ABLES MT 05.5OZ","Dog Treats","ROM","Fareway","Alpo",0,0
"DD BENEFUL 48LB","Dry Dog","ROM","Fareway","Beneful",0,0
"DT BEGGIN FUN SIZE MT 01.3OZ","Dog Treats","ROM","Fareway","Beggin'",0,0
"DT BEGGIN MT 03OZ","Dog Treats","ROM","Fareway","Beggin'",0,0
"DT BEGGIN MT 48OZ","Dog Treats","ROM","Fareway","Beggin'",0,0
"DD MOIST AND MEATY 216OZ","Dry Dog","ROM","Fareway","Moist & Meaty",0,0
"DT BEGGIN MT 08.5-9OZ","Dog Treats","ROM","Fareway","Beggin'",0,0
"DT BEGGIN MT 40OZ","Dog Treats","ROM","Fareway","Beggin'",0,0
"DT BEGGIN MT 32OZ 2CT","Dog Treats","ROM","Fareway","Beggin'",0,0
"DD DOG CHOW LX 40LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DT BENEFUL BAKED CR 19.5-22OZ","Dog Treats","ROM","Fareway","Beneful",0,0
"DD MOIST AND MEATY 360OZ","Dry Dog","ROM","Fareway","Moist & Meaty",0,0
"DT BENEFUL BAKED CR 32-36OZ","Dog Treats","ROM","Fareway","Beneful",0,0
"DD PURINA ONE ML 08LB","Dry Dog","Retailer","Fareway","Purina One",0,0
